product,thread,millis,YGC,FGC,blocked,waited
druid,1,1107,3,1,0,19
druid,2,760,2,0,0,449781
druid,5,1575,2,0,0,342494
druid,10,3260,4,0,0,694539
druid,20,6602,7,0,0,1429873
druid,50,17349,16,0,0,3583643
tomcat-jdbc,1,1140,3,0,0,19
tomcat-jdbc,2,1168,3,0,0,372709
tomcat-jdbc,5,2365,6,0,0,548038
tomcat-jdbc,10,4814,15,0,0,1108587
tomcat-jdbc,20,10523,62,0,14,2238465
tomcat-jdbc,50,31090,99,0,20,6681496
dbcp2,1,1669,5,1,0,18
dbcp2,2,1193,4,0,22,40210
dbcp2,5,3261,7,0,485,710468
dbcp2,10,6937,10,0,1531,1292981
dbcp2,20,14004,19,0,1983,2879325
dbcp2,50,36962,150,0,4865,7051056
HikariCP,1,186,1,0,0,20
HikariCP,2,226,1,0,0,38
HikariCP,5,341,3,0,0,107
HikariCP,10,483,3,0,0,240
HikariCP,20,1156,3,0,0,511
HikariCP,50,3583,5,0,0,4216
c3p0,1,4518,9,1,90558,71
c3p0,2,4491,7,0,464586,142
c3p0,5,16338,13,0,3757885,1721
c3p0,10,30446,28,0,6735231,315386
c3p0,20,75856,297,0,14756066,4477670
c3p0,50,361551,988,0,54425116,31937848
